name;slug;short_description;full_description;price;sale_price;currency;main_image;category_slug;ready_to_wear_type;bridal_type;accessory_type;available;published;featured;purchase_type;product_status;made_to_order;lead_time_note
Shades of Blue Jumpsuit;shades-of-blue-jumpsuit;Shades of Blue Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Shades of Blue Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_0ab5fdaa687345d5b5a6a1155430f2f2~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Dark Blue Embroidered Jumpsuit;dark-blue-embroidered-jumpsuit;Dark Blue Embroidered Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Dark Blue Embroidered Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_b547b12429394c2e917e698b3ad2c3d6~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Beige Abaya;beige-abaya;Beige Abaya: A refined ready-to-wear design for modern everyday elegance.;Beige Abaya is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_469591bc17b747f9a2689faee50e4d98~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Floral Color-Rich Embroidered Black Abaya;floral-color-rich-embroidered-black-abaya;Color-Rich Embroidered Black Abaya: A refined ready-to-wear design for modern everyday elegance.;Color-Rich Embroidered Black Abaya is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_ee478d0721024f59855b4287dc76ae08~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Color-Rich Embroidered Black Abaya;color-rich-embroidered-black-abaya;Color-Rich Embroidered Black Abaya: A refined ready-to-wear design for modern everyday elegance.;Color-Rich Embroidered Black Abaya is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_211b83f076b44831ab162917506c15cf~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Pop of Blue Embroidered Black Abaya;pop-of-blue-embroidered-black-abaya;Color-Rich Embroidered Black Abaya: A refined ready-to-wear design for modern everyday elegance.;Color-Rich Embroidered Black Abaya is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_d6b922f0cbdc4560813cb5bf87ffef17~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Elegant Embroidered Black Abaya;elegant-embroidered-black-abaya;Elegant Embroidered Black Abaya: A refined ready-to-wear design for modern everyday elegance.;Elegant Embroidered Black Abaya is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_72382958d270430c925df6a4b8487938~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Black Abaya with gold embroidery and ruby arms;black-abaya-with-gold-embroidery-and-ruby-arms;Black Abaya with gold embroidery and ruby arms: A refined ready-to-wear design for modern everyday elegance.;Black Abaya with gold embroidery and ruby arms is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;850;;NIS;https://static.wixstatic.com/media/e126e7_26201f887c2640d09d459ce97e6ce96b~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Colorful Embroidered Long Coat;Colorful-embroidered-coat;Colorful Embroidered Coat: A refined ready-to-wear design for modern everyday elegance.;Colorful Embroidered Coat is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_c9a1e57e23f241c398598198e8734ff7~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
White and Gold Bridal Dress with a Twist;white-and-gold-bridal-dress-with-a-twist;White and Gold Bridal Dress with a Twist: A couture bridal piece available through private appointment.;White and Gold Bridal Dress with a Twist is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_daa7aa40d348474dac728ac9a76d89f6~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Gold Embroidered White Bridal Dress;gold-embroidered-white-bridal-dress;Gold Embroidered White Bridal Dress: A couture bridal piece available through private appointment.;Gold Embroidered White Bridal Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_3ff4d09a19ec4818b87548452ae32094~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Shining Bridal Dress;shining-bridal-dress;Shining Bridal Dress: A couture bridal piece available through private appointment.;Shining Bridal Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_6d927b17a6ea4c4c80935b3303218ee4~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Red Cape Detailed Dress;red-cape-detailed-dress;Red Cape Detailed Dress: A couture bridal piece available through private appointment.;Red Cape Detailed Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_6654dfd0201b4d5880040389828bfc4e~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Gold Embroidered Dress with Cape;gold-embroidered-dress-with-cape;Gold Embroidered Dress with Cape: A couture bridal piece available through private appointment.;Gold Embroidered Dress with Cape is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;3000;;NIS;https://static.wixstatic.com/media/e126e7_12347fc72bb04df2855cc5d354413a78~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Elegant Bridal Dress;elegant-bridal-dress;Elegant Bridal Dress: A couture bridal piece available through private appointment.;Elegant Bridal Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;3500;;NIS;https://static.wixstatic.com/media/e126e7_7a8546ddaf4e47c586abddb502f72bed~mv2.jpg;bridal;;Henna Dresses;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Floral Henna Attire;floral-henna-attire;Floral Henna Attire: A couture bridal piece available through private appointment.;Floral Henna Attire is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;4500;;NIS;https://static.wixstatic.com/media/e126e7_1236bdc0b7a946fa9c0d2d489ff2877d~mv2.jpg;bridal;;Henna Dresses;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Something Blue Dress;something-blue-dress;Something Blue Dress: A couture bridal piece available through private appointment.;Something Blue Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;3500;;NIS;https://static.wixstatic.com/media/e126e7_f4269501eedc49d2a37e7218b22984df~mv2.jpg;evening-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;TRUE;Usually ready within 4 weeks.
Red Embroidered White Dress;red-embroidered-white-dress;Red Embroidered White Dress: A couture bridal piece available through private appointment.;Red Embroidered White Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_ef84880caf7e45a88b576f3463aac3bc~mv2.jpg;evening-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;TRUE;Usually ready within 2 weeks.
Vest Dress;vest-dress;Vest Dress: A couture bridal piece available through private appointment.;Vest Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_62e15e7f479d433bae53f97a053c053b~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
One-Shoulder Midi Dress;one-shoulder-midi-dress;One-Shoulder Midi Dress: A couture bridal piece available through private appointment.;One-Shoulder Midi Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_f9e9baf764a141dd9301899d25cbe1d9~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
White Floral Dress;white-floral-dress;White Floral Dress: A couture bridal piece available through private appointment.;White Floral Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_3ba49a1587ac45e996cbfa0be4d93a7b~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Gold Embroidered White Bridal Dress;gold-embroidered-white-bridal-dress;Gold Embroidered White Bridal Dress: A couture bridal piece available through private appointment.;Gold Embroidered White Bridal Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_487508c62fff439fbc3e076230d7d263~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
White Bridal Dress;white-bridal-dress;White Bridal Dress: A couture bridal piece available through private appointment.;White Bridal Dress is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_c80bc5084ac84346b72944e0c8cedb3b~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
White and Red Wear;white-and-red-wear;White and Red Wear: A couture bridal piece available through private appointment.;White and Red Wear is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_a4f83a3d968641dca6376be38a985290~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Katb Ktab Wear;katb-ktab-wear;Katb Ktab Wear: A couture bridal piece available through private appointment.;Katb Ktab Wear is part of Maie Couture's curated edit, designed for bridal appointments and custom fitting sessions. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_7d371e4e8be44662954a5d9921efa287~mv2.jpg;bridal;;Katb Ktab;;TRUE;TRUE;FALSE;APPOINTMENT_ONLY;EVERGREEN;TRUE;Available by appointment
Hand Embroidered Majdalawi Thobe;hand-embroidered-majdalawi-thobe;Majdalawi Thobe, A traditional statement piece inspired by Palestinian heritage.;Majdalawi Thobe: A traditional statement piece inspired by Palestinian heritage.;2500.0;;USD;https://static.wixstatic.com/media/e126e7_5e14cb015248482e9a3f8f4d4e45aa98~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Each piece is meticulously handcrafted, with production taking approximately 3 months to ensure the highest level of craftsmanship.
Black Thobe with Red and a Touch of Yellow;black-thobe-with-red-and-a-touch-of-yellow;"<p>&nbsp;</p>";"<p>&nbsp;</p>";3500;;NIS;https://static.wixstatic.com/media/e126e7_379e39657aa648328f4d5e20da61ca6c~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Red and Beige Thobe;red-and-beige-thobe;"<p>&nbsp;</p>";"<p>&nbsp;</p>";3500;;NIS;https://static.wixstatic.com/media/e126e7_afe1c7afebd84340ac49aafb8b94b7f9~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Malakeh Thobe in Blue and White;malakeh-thobe-in-blue-and-white;A Malak thobe is a traditional dress from Bethlehem, known for its regal presence and intricate detailing. Crafted from rich, dark fabric, it features elaborate gold or silk embroidery using the tahriri technique, concentrated on the chest panel and sleeves. Its beauty lies in the contrast between the deep base and the bold, refined craftsmanship, creating a look that is both striking and elegant.;<p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>;2500.0;;USD;https://static.wixstatic.com/media/e126e7_14267e3e2197483a99a596d84637eea3~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Each piece is meticulously handcrafted, with production taking approximately 3 months to ensure the highest level of craftsmanship.
Flamboyant Majdalawi Thobe;flamboyant-majdalawi-thobe;"<p>&nbsp;</p>";"<p>&nbsp;</p>";3500;;NIS;https://static.wixstatic.com/media/e126e7_f1e42b64b4724189a100dbb6c2d90f32~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Modernized City Thobe;modernized-city-thobe;"<p>&nbsp;</p>";"<p>&nbsp;</p>";3500;;NIS;https://static.wixstatic.com/media/e126e7_8e764625c1ba4418977bb8554093051b~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Floral Ember Thobe;floral-ember-thobe;<p>A modern touch on Palestinian embroidery that mixes between the feminine floral touch and the strong firey embers of the palestinian woman's personality</p>;<p>A modern touch on Palestinian embroidery that mixes between the feminine floral touch and the strong firey embers of the palestinian woman's personality</p>;3500;;NIS;https://static.wixstatic.com/media/e126e7_66de9c4216dc4015b0168b5fe5bcc901~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Thobe with Hand Embroidery Detail;thobe-with-hand-embroidery-detail;"<p>Happy colors for happy days!&nbsp;</p>";"<p>Happy colors for happy days!&nbsp;</p>";4500;;NIS;https://static.wixstatic.com/media/e126e7_467b17d8c5474334a8455e703dc142db~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 4 weeks.
Hand-Embroidered Emerald Thobe;hand-embroidered-emerald-thobe;"<p>A striking piece featuring traditional tatreez in vibrant shades of burgundy and flame red hand-stitched on the emerald green fabric.&nbsp;</p><p>P.S: HAND EMBROIDERED THOBES CA";"<p>A striking piece featuring traditional tatreez in vibrant shades of burgundy and flame red hand-stitched on the emerald green fabric.&nbsp;</p><p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>";2000.0;;USD;https://static.wixstatic.com/media/e126e7_3c008cf5f5354531b5577b9a0721752c~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Each piece is meticulously handcrafted, with production taking approximately 3 months to ensure the highest level of craftsmanship.
Majdalawi Thobe in Green;majdalawi-thobe-in-green;Majdalawi Thobe in Green: A traditional statement piece inspired by Palestinian heritage.;Majdalawi Thobe in Green is part of Maie Couture's curated edit, designed for heritage-inspired craftsmanship and traditional detailing. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500.0;;USD;https://static.wixstatic.com/media/e126e7_6e95c2ae593248509367dedbcceaa895~mv2.jpg;traditional-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Each piece is meticulously handcrafted, with production taking approximately 3 months to ensure the highest level of craftsmanship.
